         8	    0.000002273
        16	    0.000002344
        32	    0.000002217
        64	    0.000002226
       128	    0.000002867
       256	    0.000002961
       512	    0.000002982
      1024	    0.000002997
      2048	    0.000003115
      4096	    0.000003298
      8192	    0.000003637
     16384	    0.000004225
     32768	    0.000008101
     65536	    0.000008974
    131072	    0.000011723
    262144	    0.000017208
    524288	    0.000028036
   1048576	    0.000049830
   2097152	    0.000093191
   4194304	    0.000180100
   8388608	    0.000354426
  16777216	    0.000705945
  33554432	    0.001405916
  67108864	    0.002817481
 134217728	    0.005625688
 268435456	    0.011242272
 536870912	    0.022477013
1073741824	    0.044946978
         8	    0.000001896
        16	    0.000001868
        32	    0.000001897
        64	    0.000001911
       128	    0.000002514
       256	    0.000002586
       512	    0.000002606
      1024	    0.000002708
      2048	    0.000002770
      4096	    0.000002943
      8192	    0.000003245
     16384	    0.000003567
     32768	    0.000006307
     65536	    0.000007660
    131072	    0.000010312
    262144	    0.000015636
    524288	    0.000028154
   1048576	    0.000048352
   2097152	    0.000091844
   4194304	    0.000178837
   8388608	    0.000352762
  16777216	    0.000701830
  33554432	    0.001399549
  67108864	    0.002807455
 134217728	    0.005606799
 268435456	    0.011207635
 536870912	    0.022408799
1073741824	    0.044812163
         8	    0.000001900
        16	    0.000001882
        32	    0.000002079
        64	    0.000002054
       128	    0.000002527
       256	    0.000002546
       512	    0.000002660
      1024	    0.000002608
      2048	    0.000002816
      4096	    0.000002948
      8192	    0.000003290
     16384	    0.000003648
     32768	    0.000006322
     65536	    0.000008165
    131072	    0.000010319
    262144	    0.000015687
    524288	    0.000026654
   1048576	    0.000048777
   2097152	    0.000091854
   4194304	    0.000178848
   8388608	    0.000352820
  16777216	    0.000701736
  33554432	    0.001399406
  67108864	    0.002807646
 134217728	    0.005606532
 268435456	    0.011207309
 536870912	    0.022409576
1073741824	    0.044812447
         8	    0.000001938
        16	    0.000001897
        32	    0.000001898
        64	    0.000002057
       128	    0.000002727
       256	    0.000002538
       512	    0.000002659
      1024	    0.000002603
      2048	    0.000002815
      4096	    0.000002932
      8192	    0.000003221
     16384	    0.000003558
     32768	    0.000006314
     65536	    0.000007670
    131072	    0.000010321
    262144	    0.000015671
    524288	    0.000026601
   1048576	    0.000049091
   2097152	    0.000091856
   4194304	    0.000180426
   8388608	    0.000352849
  16777216	    0.000701733
  33554432	    0.001399692
  67108864	    0.002807666
 134217728	    0.005606783
 268435456	    0.011207571
 536870912	    0.022409729
1073741824	    0.044813212
         8	    0.000001892
        16	    0.000001883
        32	    0.000001893
        64	    0.000001932
       128	    0.000002646
       256	    0.000002642
       512	    0.000002646
      1024	    0.000002599
      2048	    0.000002826
      4096	    0.000002927
      8192	    0.000003261
     16384	    0.000003664
     32768	    0.000006275
     65536	    0.000007649
    131072	    0.000010300
    262144	    0.000015698
    524288	    0.000026711
   1048576	    0.000048419
   2097152	    0.000092828
   4194304	    0.000180650
   8388608	    0.000352742
  16777216	    0.000701853
  33554432	    0.001399472
  67108864	    0.002807645
 134217728	    0.005606820
 268435456	    0.011207557
 536870912	    0.022409057
1073741824	    0.044812247
